stream,stream_sha256,total_stream_words,window_index,offset_words,window_words,tb_status,signals,value_changes,transitions,time_markers,toggle_coverage
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,12,869172,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,187062,186600,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,13,941603,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,187267,186805,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,14,1014034,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189682,189220,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,15,1086465,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189580,189118,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,16,1158895,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189647,189185,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,17,1231326,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,187619,187157,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,18,1303757,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,186542,186080,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,19,1376188,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,185865,185403,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,20,1448619,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,187123,186661,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,21,1521050,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,185694,185232,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,22,1593481,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189689,189227,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,23,1665912,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189710,189248,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,24,1738343,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189824,189362,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,25,1810774,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,186492,186030,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,26,1883205,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,186858,186396,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,27,1955636,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,186590,186128,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,28,2028067,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,186653,186191,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,29,2100498,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189925,189463,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,30,2172929,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189726,189264,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,31,2245360,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189822,189360,2053,1.0
